Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
106,2023-04-23,CUST129,Female,21,Workwear,2,300,600
107,2023-08-29,CUST924,Male,55,Casual Wear,2,50,100
108,2023-05-01,CUST652,Female,34,Sportswear,2,50,100
109,2023-07-15,CUST1594,Female,32,Children Wear,3,50,150
110,2023-02-11,CUST1916,Male,45,Casual Wear,2,100,200
111,2023-08-06,CUST612,Female,61,Sportswear,1,500,500
112,2023-01-26,CUST1375,Male,41,Workwear,1,500,500
113,2023-03-20,CUST1647,Female,52,Formal Wear,2,200,400
114,2023-06-04,CUST1473,Male,45,Workwear,2,200,400
115,2023-06-26,CUST509,Female,37,Formal Wear,3,300,900
116,2023-11-08,CUST1134,Male,42,Casual Wear,4,50,200
117,2023-04-23,CUST1710,Male,43,Casual Wear,3,50,150
118,2023-10-04,CUST290,Female,30,Formal Wear,2,300,600
119,2023-04-24,CUST1741,Female,49,Casual Wear,3,30,90
120,2023-04-15,CUST1429,Female,46,Sportswear,2,30,60
121,2023-08-07,CUST430,Female,43,Formal Wear,3,300,900
122,2023-05-08,CUST1380,Female,53,Children Wear,3,25,75
123,2023-06-11,CUST1652,Female,22,Casual Wear,1,30,30
124,2023-03-06,CUST197,Female,42,Children Wear,4,50,200
125,2023-06-12,CUST1532,Female,30,Casual Wear,3,100,300
126,2023-12-09,CUST355,Female,55,Casual Wear,1,500,500
127,2023-08-03,CUST2019,Female,23,Sportswear,1,25,25
128,2023-06-21,CUST2095,Female,41,Workwear,4,150,600
129,2023-11-17,CUST1926,Male,49,Casual Wear,1,100,100
130,2023-10-11,CUST1718,Female,37,Formal Wear,2,300,600
131,2023-09-20,CUST1777,Male,38,Workwear,1,200,200
132,2023-12-07,CUST531,Male,31,Casual Wear,1,500,500
133,2023-06-24,CUST927,Male,43,Sportswear,4,500,2000
134,2023-02-21,CUST070,Female,43,Sportswear,1,300,300
135,2023-12-06,CUST1316,Male,51,Sportswear,4,30,120
136,2023-12-18,CUST939,Female,46,Formal Wear,1,300,300
137,2023-02-27,CUST433,Male,29,Children Wear,4,50,200
138,2023-09-21,CUST241,Female,23,Casual Wear,3,25,75
139,2023-07-15,CUST2070,Female,30,Casual Wear,1,100,100
140,2023-11-10,CUST388,Male,50,Children Wear,1,25,25
141,2023-05-27,CUST307,Female,26,Sportswear,2,25,50
142,2023-09-27,CUST1752,Male,18,Sportswear,1,100,100
143,2023-07-14,CUST681,Female,43,Children Wear,2,30,60
144,2023-12-20,CUST890,Male,34,Workwear,2,25,50
145,2023-10-23,CUST937,Female,62,Casual Wear,1,500,500
146,2023-05-30,CUST985,Female,19,Casual Wear,2,25,50
147,2023-10-23,CUST1113,Female,31,Casual Wear,4,25,100
148,2023-05-08,CUST1433,Male,45,Children Wear,2,75,150
149,2023-09-17,CUST1958,Female,44,Casual Wear,3,75,225
150,2023-07-25,CUST1867,Male,42,Casual Wear,3,30,90
151,2023-06-09,CUST212,Male,21,Workwear,3,500,1500
152,2023-03-09,CUST248,Male,26,Casual Wear,3,300,900
153,2023-04-18,CUST562,Male,54,Workwear,2,25,50
154,2023-06-12,CUST1679,Female,57,Children Wear,3,25,75
155,2023-07-01,CUST260,Male,28,Workwear,2,30,60
156,2023-11-01,CUST343,Male,21,Workwear,2,25,50
157,2023-03-28,CUST1879,Male,25,Casual Wear,3,50,150
158,2023-06-24,CUST1892,Female,20,Formal Wear,3,75,225
159,2023-12-29,CUST1456,Female,27,Casual Wear,2,30,60
160,2023-08-03,CUST1641,Female,46,Formal Wear,2,200,400
161,2023-08-08,CUST125,Male,48,Formal Wear,2,50,100
162,2023-01-15,CUST1737,Female,49,Formal Wear,4,150,600
163,2023-06-20,CUST1342,Female,34,Formal Wear,3,200,600
164,2023-02-25,CUST766,Male,38,Workwear,3,300,900
165,2023-02-02,CUST1454,Male,50,Sportswear,3,50,150
166,2023-04-01,CUST614,Female,39,Sportswear,4,300,1200
167,2023-01-13,CUST591,Male,53,Sportswear,4,25,100
168,2023-04-27,CUST066,Female,45,Formal Wear,1,30,30
169,2023-01-14,CUST1280,Male,49,Children Wear,3,30,90
170,2023-09-02,CUST1160,Female,26,Sportswear,5,50,250
171,2023-10-16,CUST711,Male,26,Casual Wear,3,500,1500
172,2023-01-26,CUST618,Female,27,Casual Wear,1,50,50
173,2023-07-23,CUST1844,Male,45,Workwear,1,100,100
174,2023-04-25,CUST483,Male,55,Children Wear,1,30,30
175,2023-07-16,CUST603,Female,40,Workwear,3,30,90
176,2023-04-26,CUST1503,Female,43,Workwear,3,200,600
177,2023-02-23,CUST1689,Male,24,Formal Wear,1,100,100
178,2023-12-11,CUST586,Male,50,Workwear,1,50,50
179,2023-12-18,CUST1657,Male,34,Formal Wear,1,100,100
180,2023-09-16,CUST1121,Female,47,Casual Wear,3,30,90
181,2023-10-02,CUST276,Female,21,Children Wear,4,25,100
182,2023-05-18,CUST818,Male,30,Casual Wear,1,500,500
183,2023-07-04,CUST904,Male,28,Children Wear,1,500,500
184,2023-10-14,CUST1559,Male,44,Sportswear,2,75,150
185,2023-10-03,CUST1761,Female,42,Formal Wear,2,200,400
186,2023-08-25,CUST282,Female,64,Children Wear,4,50,200
187,2023-03-17,CUST1996,Male,37,Children Wear,3,75,225
188,2023-11-16,CUST1489,Male,49,Formal Wear,2,75,150
189,2023-02-05,CUST793,Male,54,Workwear,1,30,30
190,2023-01-30,CUST322,Male,51,Workwear,1,500,500
191,2023-01-30,CUST189,Male,63,Formal Wear,1,50,50
192,2023-03-28,CUST1508,Male,41,Casual Wear,2,30,60
193,2023-08-21,CUST880,Male,22,Sportswear,2,500,1000
194,2023-10-22,CUST600,Female,59,Children Wear,2,500,1000
195,2023-12-16,CUST451,Female,45,Workwear,1,30,30
196,2023-11-21,CUST1290,Female,30,Casual Wear,4,25,100
197,2023-11-12,CUST1521,Female,44,Casual Wear,3,25,75
198,2023-09-27,CUST1542,Male,37,Sportswear,4,50,200
199,2023-10-31,CUST1965,Male,23,Casual Wear,3,25,75
200,2023-03-22,CUST1841,Male,19,Workwear,2,200,400
201,2023-06-29,CUST2053,Male,38,Formal Wear,2,150,300
202,2023-08-19,CUST2014,Male,28,Workwear,4,200,800
203,2023-07-09,CUST439,Male,50,Sportswear,3,25,75
204,2023-01-30,CUST1190,Male,30,Casual Wear,1,30,30
205,2023-04-01,CUST808,Male,33,Children Wear,4,500,2000
206,2023-01-08,CUST291,Male,60,Casual Wear,2,300,600
207,2023-07-18,CUST1013,Male,44,Casual Wear,2,150,300
208,2023-08-16,CUST1379,Male,29,Children Wear,2,30,60
209,2023-11-08,CUST2088,Female,57,Casual Wear,3,75,225
210,2023-03-20,CUST136,Male,44,Formal Wear,2,300,600
211,2023-01-21,CUST1090,Female,32,Casual Wear,1,30,30
212,2023-06-16,CUST100,Male,41,Children Wear,1,30,30
213,2023-01-14,CUST708,Female,43,Formal Wear,3,300,900
214,2023-10-05,CUST1602,Male,27,Sportswear,1,50,50
215,2023-09-17,CUST1510,Female,42,Children Wear,4,25,100
216,2023-02-08,CUST434,Female,43,Workwear,2,25,50
217,2023-09-22,CUST1713,Female,42,Children Wear,4,75,300
218,2023-09-25,CUST809,Female,62,Casual Wear,2,50,100
219,2023-05-07,CUST221,Male,39,Workwear,2,300,600
220,2023-03-02,CUST1765,Female,40,Formal Wear,4,150,600
221,2023-11-10,CUST631,Male,56,Workwear,3,30,90
222,2023-03-16,CUST2003,Male,30,Casual Wear,3,75,225
223,2023-01-17,CUST238,Female,39,Formal Wear,1,500,500
224,2023-01-17,CUST014,Male,64,Sportswear,4,30,120
225,2023-01-14,CUST768,Female,24,Casual Wear,3,25,75
226,2023-07-14,CUST1992,Female,37,Formal Wear,1,200,200
227,2023-06-07,CUST1565,Female,34,Casual Wear,2,50,100
228,2023-11-23,CUST1731,Female,37,Casual Wear,4,100,400
229,2023-12-29,CUST520,Female,49,Sportswear,4,25,100
230,2023-02-06,CUST240,Female,23,Workwear,1,300,300
231,2023-12-25,CUST757,Female,43,Casual Wear,4,300,1200
232,2023-05-03,CUST1353,Male,37,Workwear,3,75,225
233,2023-05-15,CUST1323,Male,43,Formal Wear,3,100,300
234,2023-03-15,CUST1518,Male,51,Formal Wear,4,200,800
235,2023-04-03,CUST1047,Female,28,Casual Wear,2,30,60
236,2023-08-20,CUST1007,Male,28,Formal Wear,3,300,900
237,2023-04-20,CUST1332,Male,32,Formal Wear,3,200,600
238,2023-01-21,CUST1358,Female,55,Workwear,1,150,150
239,2023-11-15,CUST369,Male,23,Sportswear,3,500,1500
240,2023-06-01,CUST1789,Male,52,Children Wear,3,30,90
241,2023-03-20,CUST1225,Male,35,Casual Wear,4,50,200
242,2023-08-04,CUST675,Female,45,Casual Wear,2,30,60
243,2023-09-11,CUST1550,Male,20,Sportswear,5,30,150
244,2023-06-27,CUST788,Female,52,Sportswear,3,300,900
245,2023-02-13,CUST577,Male,21,Casual Wear,4,500,2000
246,2023-08-30,CUST1758,Male,36,Casual Wear,4,30,120
247,2023-06-18,CUST1036,Male,26,Workwear,3,100,300
248,2023-02-05,CUST333,Female,54,Formal Wear,4,300,1200
249,2023-10-12,CUST1339,Female,43,Casual Wear,1,75,75
250,2023-05-27,CUST1288,Female,24,Casual Wear,2,30,60
251,2023-01-02,CUST979,Female,19,Casual Wear,1,25,25
252,2023-04-18,CUST2092,Female,41,Formal Wear,1,300,300
253,2023-05-17,CUST1370,Male,20,Sportswear,2,50,100
254,2023-10-21,CUST922,Male,41,Sportswear,1,50,50
255,2023-11-27,CUST1424,Female,51,Workwear,3,200,600
256,2023-10-06,CUST1872,Female,31,Sportswear,5,50,250
257,2023-05-01,CUST585,Female,24,Sportswear,1,25,25
258,2023-09-24,CUST1289,Male,45,Sportswear,3,50,150
259,2023-01-09,CUST1412,Female,40,Formal Wear,2,100,200
260,2023-02-01,CUST1337,Female,32,Sportswear,4,50,200
261,2023-10-03,CUST122,Male,64,Casual Wear,4,30,120
262,2023-01-30,CUST317,Male,22,Formal Wear,3,30,90
263,2023-07-24,CUST487,Male,44,Sportswear,4,500,2000
264,2023-09-21,CUST1334,Male,44,Sportswear,1,50,50
265,2023-05-03,CUST974,Male,47,Casual Wear,1,30,30
266,2023-12-28,CUST2044,Male,35,Workwear,2,200,400
267,2023-06-19,CUST669,Male,24,Workwear,4,300,1200
268,2023-08-23,CUST116,Female,23,Formal Wear,1,30,30
269,2023-07-19,CUST1169,Female,37,Workwear,4,150,600
270,2023-10-19,CUST555,Male,25,Workwear,1,300,300
271,2023-06-03,CUST2011,Male,18,Workwear,2,500,1000
272,2023-01-24,CUST2002,Male,45,Casual Wear,2,25,50
273,2023-10-31,CUST1973,Female,43,Casual Wear,2,50,100
274,2023-05-30,CUST915,Female,26,Casual Wear,3,30,90
275,2023-09-09,CUST1620,Female,52,Children Wear,2,30,60
276,2023-07-14,CUST722,Male,20,Sportswear,3,300,900
277,2023-03-30,CUST1780,Male,55,Children Wear,6,30,180
278,2023-05-08,CUST620,Male,63,Workwear,3,25,75
279,2023-08-20,CUST1361,Male,48,Casual Wear,1,50,50
280,2023-08-15,CUST427,Male,25,Casual Wear,1,25,25
281,2023-10-22,CUST680,Female,53,Workwear,3,300,900
282,2023-05-06,CUST1457,Female,40,Workwear,1,75,75
283,2023-04-14,CUST1052,Female,45,Children Wear,5,30,150
284,2023-02-10,CUST1986,Male,63,Casual Wear,1,30,30
285,2023-09-05,CUST894,Male,52,Sportswear,1,30,30
286,2023-03-20,CUST1712,Male,36,Sportswear,1,50,50
287,2023-03-07,CUST2023,Male,20,Casual Wear,1,30,30
288,2023-11-20,CUST1901,Female,49,Casual Wear,2,25,50
289,2023-06-06,CUST882,Female,64,Casual Wear,2,25,50
290,2023-06-01,CUST545,Male,27,Sportswear,2,25,50
291,2023-12-31,CUST857,Male,60,Sportswear,2,25,50
292,2023-08-08,CUST716,Female,60,Formal Wear,4,300,1200
293,2023-01-17,CUST986,Female,49,Workwear,2,500,1000
294,2023-05-12,CUST758,Male,64,Formal Wear,4,25,100
295,2023-04-08,CUST1118,Female,45,Children Wear,3,50,150
296,2023-01-31,CUST300,Female,19,Sportswear,4,50,200
297,2023-05-08,CUST1616,Male,25,Casual Wear,3,50,150
298,2023-02-23,CUST1476,Male,52,Children Wear,5,50,250
299,2023-01-24,CUST064,Male,49,Formal Wear,4,25,100
300,2023-09-02,CUST325,Female,52,Casual Wear,2,25,50
301,2023-01-17,CUST1554,Female,55,Formal Wear,3,150,450
302,2023-08-05,CUST1178,Male,35,Workwear,2,150,300
303,2023-06-16,CUST1245,Male,59,Children Wear,5,50,250
304,2023-08-17,CUST1033,Female,44,Children Wear,5,30,150
305,2023-08-18,CUST1001,Female,35,Casual Wear,2,30,60
306,2023-06-29,CUST1395,Male,27,Casual Wear,2,50,100
307,2023-05-05,CUST606,Male,22,Formal Wear,1,50,50
308,2023-04-30,CUST995,Female,41,Children Wear,1,30,30
309,2023-10-10,CUST428,Female,40,Casual Wear,4,50,200
310,2023-10-25,CUST1555,Male,62,Children Wear,4,50,200
311,2023-05-24,CUST1381,Female,35,Workwear,1,200,200
312,2023-09-20,CUST1494,Female,37,Children Wear,2,25,50
313,2023-11-29,CUST024,Female,49,Casual Wear,1,300,300
314,2023-07-13,CUST1624,Female,34,Casual Wear,1,50,50
315,2023-12-04,CUST199,Male,45,Workwear,3,500,1500
316,2023-08-24,CUST050,Female,27,Workwear,3,25,75
317,2023-04-12,CUST174,Female,39,Sportswear,1,300,300
318,2023-03-04,CUST621,Female,40,Formal Wear,2,500,1000
319,2023-05-18,CUST1824,Male,44,Children Wear,3,25,75
320,2023-06-15,CUST819,Female,35,Casual Wear,2,50,100
321,2023-03-06,CUST917,Female,57,Sportswear,4,50,200
322,2023-03-26,CUST1200,Male,20,Casual Wear,4,25,100
323,2023-02-01,CUST1557,Female,39,Casual Wear,1,50,50
324,2023-09-22,CUST846,Male,42,Children Wear,1,50,50
325,2023-05-23,CUST072,Female,20,Casual Wear,4,500,2000
326,2023-04-27,CUST1376,Female,51,Casual Wear,2,100,200
327,2023-01-17,CUST1782,Male,18,Workwear,2,100,200
328,2023-07-17,CUST515,Female,49,Sportswear,3,300,900
329,2023-12-08,CUST1384,Male,24,Casual Wear,1,30,30
330,2023-08-13,CUST384,Male,55,Workwear,1,500,500
331,2023-10-31,CUST817,Male,30,Workwear,4,50,200
332,2023-06-07,CUST2058,Male,39,Formal Wear,3,200,600
333,2023-10-23,CUST1078,Male,52,Casual Wear,4,50,200
334,2023-04-09,CUST486,Female,35,Formal Wear,1,25,25
335,2023-05-08,CUST2085,Female,39,Children Wear,2,75,150
336,2023-11-24,CUST1228,Male,34,Sportswear,2,75,150
337,2023-08-22,CUST597,Male,22,Children Wear,4,300,1200
338,2023-02-19,CUST257,Male,19,Sportswear,4,500,2000
339,2023-05-09,CUST1272,Male,41,Formal Wear,4,100,400
340,2023-03-21,CUST459,Male,28,Casual Wear,4,300,1200
341,2023-01-17,CUST1114,Female,35,Children Wear,2,30,60
342,2023-11-08,CUST1165,Male,34,Sportswear,3,25,75
343,2023-01-14,CUST021,Female,50,Formal Wear,1,500,500
344,2023-03-24,CUST1576,Male,34,Sportswear,2,50,100
345,2023-10-18,CUST1061,Male,52,Formal Wear,3,150,450
346,2023-11-03,CUST1820,Male,29,Sportswear,3,150,450
347,2023-08-11,CUST508,Male,58,Workwear,2,300,600
348,2023-12-21,CUST1447,Female,39,Children Wear,4,25,100
349,2023-06-04,CUST782,Male,59,Workwear,3,300,900
350,2023-05-10,CUST2071,Female,53,Formal Wear,3,300,900
351,2023-09-17,CUST375,Male,32,Sportswear,1,50,50
352,2023-12-06,CUST868,Female,25,Sportswear,1,300,300
353,2023-07-25,CUST1982,Female,19,Casual Wear,1,150,150
354,2023-07-16,CUST1856,Male,34,Casual Wear,1,50,50
355,2023-11-04,CUST1037,Female,45,Formal Wear,3,150,450
356,2023-08-06,CUST875,Female,51,Sportswear,4,500,2000
357,2023-06-23,CUST271,Female,62,Sportswear,4,30,120
358,2023-09-29,CUST1000,Female,22,Casual Wear,2,75,150
359,2023-12-22,CUST1125,Male,30,Formal Wear,3,100,300
360,2023-06-29,CUST737,Female,33,Sportswear,1,50,50
361,2023-03-22,CUST383,Female,46,Children Wear,3,30,90
362,2023-12-14,CUST496,Male,23,Sportswear,2,300,600
363,2023-10-07,CUST026,Female,28,Formal Wear,2,500,1000
364,2023-10-02,CUST2015,Male,55,Sportswear,4,75,300
365,2023-04-18,CUST079,Male,34,Workwear,1,300,300
366,2023-10-23,CUST1347,Male,32,Casual Wear,1,30,30
367,2023-03-23,CUST033,Female,50,Sportswear,2,50,100
368,2023-08-16,CUST1766,Male,44,Sportswear,2,75,150
369,2023-10-07,CUST437,Female,35,Casual Wear,4,300,1200
370,2023-06-05,CUST1740,Male,22,Formal Wear,3,50,150
371,2023-05-23,CUST1656,Female,36,Casual Wear,4,30,120
372,2023-05-15,CUST164,Female,47,Formal Wear,3,500,1500
373,2023-09-28,CUST204,Male,39,Workwear,1,25,25
374,2023-08-21,CUST1993,Female,35,Casual Wear,4,150,600
375,2023-11-28,CUST1642,Female,60,Sportswear,4,50,200
376,2023-07-23,CUST773,Male,25,Casual Wear,4,500,2000
377,2023-06-19,CUST1054,Male,41,Formal Wear,1,100,100
378,2023-08-21,CUST306,Male,54,Formal Wear,1,50,50
379,2023-07-17,CUST1196,Male,43,Workwear,1,150,150
380,2023-02-25,CUST1284,Female,25,Casual Wear,2,150,300
381,2023-08-02,CUST2082,Male,46,Casual Wear,3,75,225
382,2023-02-13,CUST193,Male,35,Formal Wear,3,500,1500
383,2023-12-25,CUST1910,Female,63,Sportswear,4,30,120
384,2023-11-21,CUST417,Male,43,Formal Wear,3,300,900
385,2023-01-22,CUST787,Male,41,Sportswear,1,25,25
386,2023-12-02,CUST1483,Female,47,Casual Wear,2,30,60
387,2023-08-20,CUST219,Female,53,Sportswear,3,30,90
388,2023-09-11,CUST2079,Female,45,Children Wear,5,100,500
389,2023-01-01,CUST2065,Male,50,Sportswear,1,30,30
390,2023-06-11,CUST352,Male,57,Children Wear,2,500,1000
391,2023-07-08,CUST1788,Female,45,Workwear,4,200,800
392,2023-12-30,CUST1352,Male,52,Sportswear,4,50,200
393,2023-01-13,CUST484,Female,19,Workwear,4,300,1200
394,2023-08-25,CUST1414,Female,31,Casual Wear,4,75,300
395,2023-03-29,CUST1526,Female,59,Casual Wear,3,75,225
396,2023-10-23,CUST060,Male,30,Sportswear,3,50,150
397,2023-07-01,CUST837,Male,18,Workwear,3,30,90
398,2023-03-08,CUST423,Female,27,Formal Wear,1,25,25
399,2023-11-21,CUST410,Female,29,Workwear,2,50,100
400,2023-11-22,CUST074,Female,18,Children Wear,4,500,2000
401,2023-06-06,CUST1089,Female,46,Children Wear,4,30,120
402,2023-01-02,CUST163,Female,64,Casual Wear,3,50,150
403,2023-02-16,CUST1815,Female,37,Children Wear,4,30,120
404,2023-11-14,CUST582,Male,35,Sportswear,3,300,900
405,2023-03-11,CUST1258,Female,36,Formal Wear,1,100,100
406,2023-04-02,CUST465,Female,43,Formal Wear,3,50,150
407,2023-02-24,CUST611,Male,51,Children Wear,3,500,1500
408,2023-02-17,CUST1471,Male,36,Children Wear,4,25,100
409,2023-09-07,CUST835,Male,37,Sportswear,4,50,200
410,2023-10-31,CUST1133,Male,26,Sportswear,3,50,150
411,2023-03-23,CUST1073,Female,38,Casual Wear,1,50,50
412,2023-08-04,CUST549,Female,50,Workwear,2,50,100
413,2023-06-26,CUST046,Female,20,Sportswear,4,300,1200
414,2023-03-15,CUST1068,Male,41,Sportswear,3,50,150
415,2023-04-06,CUST1809,Male,39,Children Wear,1,25,25
416,2023-07-28,CUST295,Female,27,Workwear,3,300,900
417,2023-09-21,CUST1924,Female,31,Casual Wear,3,150,450
418,2023-07-09,CUST077,Female,47,Children Wear,2,50,100
419,2023-08-05,CUST206,Male,61,Sportswear,1,25,25
420,2023-03-19,CUST1530,Female,32,Sportswear,3,75,225
421,2023-08-13,CUST1592,Female,20,Formal Wear,2,150,300
422,2023-06-22,CUST830,Female,64,Sportswear,3,50,150
423,2023-01-27,CUST415,Male,53,Children Wear,2,30,60
424,2023-03-07,CUST705,Male,60,Workwear,2,25,50
425,2023-08-27,CUST756,Female,62,Sportswear,4,300,1200
426,2023-05-10,CUST1232,Female,50,Casual Wear,1,50,50
427,2023-02-08,CUST977,Female,35,Casual Wear,3,25,75
428,2023-06-03,CUST394,Female,27,Casual Wear,1,500,500
429,2023-02-28,CUST1774,Male,27,Sportswear,5,25,125
430,2023-04-19,CUST969,Female,40,Formal Wear,3,300,900
431,2023-05-23,CUST031,Male,44,Formal Wear,4,300,1200
432,2023-12-05,CUST1181,Male,28,Sportswear,4,30,120
433,2023-01-21,CUST1937,Male,29,Formal Wear,2,75,150
434,2023-06-07,CUST446,Male,21,Children Wear,1,50,50
435,2023-01-16,CUST1146,Male,55,Formal Wear,2,500,1000
